chr	start	end	log2_TNratio_corrected
1	1000001	2000000	NA
1	2000001	3000000	NA
1	4000001	5000000	-0.00952942178671748
1	5000001	6000000	-0.0124546639403108
1	6000001	7000000	-0.0356140972168703
1	7000001	8000000	-0.0294008311817401
1	8000001	9000000	0.0336319391486015
1	9000001	10000000	-0.0258328076720051
1	10000001	11000000	-0.0341294696774207
1	11000001	12000000	0.0155634516619683
1	12000001	13000000	0.0348635654882241
1	14000001	15000000	0.0136968256892444
1	15000001	16000000	-0.0614972739679775
1	16000001	17000000	-0.0210692757740456
1	18000001	19000000	-0.068332461081045
1	19000001	20000000	-0.0458492938926782
1	20000001	21000000	-0.028870176763106
1	21000001	22000000	0.00390643463327993
1	22000001	23000000	-0.0353115249766274
1	23000001	24000000	-0.0311790886671365
1	24000001	25000000	-0.0163655301850829
1	25000001	26000000	0.0339476617798587
1	26000001	27000000	-0.00860680348138828
1	27000001	28000000	0.0190922572785969
1	28000001	29000000	0.0639592163002783
1	30000001	31000000	NA
1	31000001	32000000	-0.00903103671219244
1	32000001	33000000	0.00663123001579233
1	33000001	34000000	0.0262154265355859
1	34000001	35000000	0.0246934018012402
1	35000001	36000000	0.0234143631614274
1	36000001	37000000	0.0135018124760873
1	37000001	38000000	-0.00195351606798497
1	38000001	39000000	-0.00718619810801351
1	39000001	40000000	0.0293687686751404
1	40000001	41000000	0.058304013664947
1	41000001	42000000	-0.00208684611033109
1	42000001	43000000	0.0158238537186915
1	43000001	44000000	0.0241408315626297
1	44000001	45000000	-0.0284542503394613
1	45000001	46000000	0.039905651005663
1	46000001	47000000	0.0301398793894621
1	47000001	48000000	-0.0222365679463747
1	48000001	49000000	-0.192627648148045
1	49000001	50000000	-0.191910357393744
1	50000001	51000000	-0.183336556992376
1	51000001	52000000	-0.187254033865525
1	52000001	53000000	-0.225380473265066
1	53000001	54000000	-0.226789825388515
1	54000001	55000000	-0.25042012054392
1	55000001	56000000	-0.235207370424174
1	56000001	57000000	-0.213536659670839
1	57000001	58000000	-0.220803909284602
1	58000001	59000000	-0.217078729421066
1	59000001	60000000	-0.19754496509546
1	60000001	61000000	-0.196593660235571
1	61000001	62000000	-0.219609368559136
1	62000001	63000000	-0.222641408500866
1	63000001	64000000	-0.227820914878329
1	64000001	65000000	-0.214327471562504
1	65000001	66000000	-0.208056792176112
1	66000001	67000000	-0.187297412617504
1	67000001	68000000	-0.220415512319009
1	68000001	69000000	-0.202272281228859
1	69000001	70000000	-0.154162532916845
1	70000001	71000000	-0.184510187519683
1	71000001	72000000	-0.201462906608826
1	72000001	73000000	-0.232488065834563
1	73000001	74000000	-0.216062089367946
1	74000001	75000000	-0.183434839113561
1	75000001	76000000	-0.171680389147423
1	76000001	77000000	-0.189900399043714
1	77000001	78000000	-0.186906682924425
1	78000001	79000000	-0.173420231090619
1	79000001	80000000	-0.195945784992244
1	80000001	81000000	-0.209495606136575
1	81000001	82000000	-0.199950559006375
1	82000001	83000000	-0.214507354894889
1	84000001	85000000	-0.191455117634193
1	85000001	86000000	-0.230956637963004
1	86000001	87000000	-0.169420684649502
1	87000001	88000000	-0.217816700313324
1	88000001	89000000	-0.2082921474499
1	89000001	90000000	-0.182613731200439
1	90000001	91000000	-0.191092022241827
1	91000001	92000000	-0.197078455657413
1	92000001	93000000	-0.216237139105657
1	93000001	94000000	-0.203243311265501
1	94000001	95000000	-0.209315176409702
1	95000001	96000000	-0.219844247700576
1	96000001	97000000	-0.184550794005378
1	97000001	98000000	-0.209840755011921
1	98000001	99000000	-0.221844138409751
1	99000001	100000000	-0.173618931793734
1	100000001	101000000	-0.216492060467294
1	101000001	102000000	-0.197154650924803
1	102000001	103000000	-0.223896331258766
1	105000001	106000000	-0.212895625093843
1	106000001	107000000	-0.21992489909877
1	107000001	108000000	-0.204893829855976
1	109000001	110000000	-0.173666516017622
1	110000001	111000000	-0.21150519595277
1	111000001	112000000	-0.193232799434899
1	112000001	113000000	-0.177567105081039
1	113000001	114000000	-0.213980095268402
1	114000001	115000000	-0.202932495812965
1	115000001	116000000	-0.183892882958598
1	116000001	117000000	-0.218808920041588
1	117000001	118000000	-0.200926446125933
1	118000001	119000000	-0.20215038225941
1	119000001	120000000	-0.14696585855114
1	150000001	151000000	0.233116905357705
1	151000001	152000000	0.232693547195995
1	152000001	153000000	0.218877185769324
1	153000001	154000000	0.218134956516153
1	154000001	155000000	0.196334278851348
1	155000001	156000000	0.207056761626908
1	156000001	157000000	0.147716629912305
1	157000001	158000000	0.173956791610172
1	158000001	159000000	0.222401356058534
1	159000001	160000000	0.202634320673754
1	160000001	161000000	0.201045333258759
1	162000001	163000000	0.170004035290522
1	163000001	164000000	0.216939046895108
1	164000001	165000000	0.193993832485123
1	165000001	166000000	0.160362679250515
1	166000001	167000000	0.225733706934819
1	167000001	168000000	0.170613402199496
1	168000001	169000000	0.21305883372437
1	169000001	170000000	0.222195548107372
1	170000001	171000000	0.228026600292003
1	171000001	172000000	0.200996847686284
1	172000001	173000000	0.248471836269596
1	173000001	174000000	0.212820844147919
1	174000001	175000000	0.221251848990638
1	175000001	176000000	0.163030393054507
1	176000001	177000000	0.223494213182171
1	177000001	178000000	0.223051610150612
1	178000001	179000000	0.168835398791763
1	179000001	180000000	0.208028607077725
1	180000001	181000000	0.18749986148318
1	181000001	182000000	0.198141863511733
1	182000001	183000000	0.179863448050432
1	183000001	184000000	0.207827423207691
1	184000001	185000000	0.213302092590435
1	185000001	186000000	0.240988025498844
1	186000001	187000000	0.230836427921295
1	187000001	188000000	0.214207839550812
1	188000001	189000000	0.177317706044361
1	189000001	190000000	NA
1	190000001	191000000	NA
1	191000001	192000000	0.171970409192278
1	192000001	193000000	0.234055940997975
1	193000001	194000000	0.223535911533911
1	194000001	195000000	0.183521557140524
1	195000001	196000000	0.176306881128372
1	196000001	197000000	0.147020568902881
1	197000001	198000000	0.188620275158721
1	198000001	199000000	0.183068881401196
1	199000001	200000000	0.224959503606123
1	200000001	201000000	0.181865322669687
1	201000001	202000000	0.127692292267025
1	202000001	203000000	0.170831683111781
1	203000001	204000000	0.145768424834207
1	204000001	205000000	0.116572943641076
1	205000001	206000000	NA
1	207000001	208000000	0.192503388252553
1	208000001	209000000	0.152661981508444
1	209000001	210000000	0.184068146703151
1	210000001	211000000	0.180675380782932
1	211000001	212000000	0.211685308091244
1	212000001	213000000	0.20253536790345
1	213000001	214000000	0.19567536372885
1	214000001	215000000	0.185060049282201
1	215000001	216000000	0.231945241224349
1	216000001	217000000	0.217187228096417
1	217000001	218000000	0.20916301703451
1	218000001	219000000	0.207770692225047
1	219000001	220000000	0.22727575157788
1	220000001	221000000	0.194343520965705
1	221000001	222000000	0.193035844852709
1	222000001	223000000	0.196180633068178
1	225000001	226000000	0.18696792577249
1	226000001	227000000	0.159449399869422
1	227000001	228000000	0.199912321239816
1	228000001	229000000	0.158353720065237
1	229000001	230000000	0.154966005511984
1	230000001	231000000	0.172528220727702
1	231000001	232000000	0.16102824945205
1	232000001	233000000	0.161645528192712
1	233000001	234000000	0.1734743546426
1	234000001	235000000	0.208702898205366
1	235000001	236000000	NA
1	236000001	237000000	0.188619664225757
1	237000001	238000000	0.213445463892485
1	238000001	239000000	0.228670278567046
1	239000001	240000000	0.316262043822152
1	240000001	241000000	0.184572965587678
1	241000001	242000000	0.212370859924302
1	242000001	243000000	0.225154396221006
1	244000001	245000000	0.200434426508354
1	245000001	246000000	0.158121715569655
1	246000001	247000000	0.180342551767451
1	247000001	248000000	0.207101332542688
2	1	1000000	NA
