ID	chrom	start	end	num.mark	seg.median.logR	copy.number	call	subclone.status	logR_Copy_Number	Corrected_Copy_Number	Corrected_Call
sample20200117-1_ZXY-WGS_I7	1	1000001	48000000	47	-0.00201977305724457	1	HETD	TRUE	1.02220102276067	1	HETD
sample20200117-1_ZXY-WGS_I7	1	48000001	120000000	72	-0.203088180905939	1	HETD	FALSE	0.983098835026971	1	HETD
sample20200117-1_ZXY-WGS_I7	1	150000001	248000000	98	0.198141179610731	3	GAIN	FALSE	2.86962778105832	3	GAIN
sample20200117-1_ZXY-WGS_I7	2	1000001	74000000	73	0.0313425497633127	2	NEUT	FALSE	2.02124522777827	2	NEUT
sample20200117-1_ZXY-WGS_I7	2	74000001	212000000	138	0.0479595112442718	3	GAIN	TRUE	2.72401418315721	3	GAIN
sample20200117-1_ZXY-WGS_I7	2	212000001	233000000	21	0.0332959588486764	2	NEUT	FALSE	2.0306238480098	2	NEUT
sample20200117-1_ZXY-WGS_I7	2	233000001	243000000	10	-0.0131847899786843	1	HETD	TRUE	0.650017225041061	1	HETD
sample20200117-1_ZXY-WGS_I7	3	1000001	82000000	81	-0.2000383235895	1	HETD	FALSE	0.99555027750795	1	HETD
sample20200117-1_ZXY-WGS_I7	3	82000001	122000000	40	0.0513383030300339	3	GAIN	TRUE	2.84120480201584	3	GAIN
sample20200117-1_ZXY-WGS_I7	3	122000001	177000000	55	0.0329598109041492	2	NEUT	FALSE	2.02900904482652	2	NEUT
sample20200117-1_ZXY-WGS_I7	3	177000001	197000000	20	-0.010186869683717	1	HETD	TRUE	0.749669652773184	1	HETD
sample20200117-1_ZXY-WGS_I7	4	2000001	191000000	189	0.0359736008445664	2	NEUT	FALSE	2.04350027381235	2	NEUT
sample20200117-1_ZXY-WGS_I7	5	1000001	46000000	45	0.0719125770081512	3	GAIN	TRUE	3.56076115745797	3	GAIN
sample20200117-1_ZXY-WGS_I7	5	50000001	180000000	130	-0.18551326991783	1	HETD	FALSE	1.05521325617808	1	HETD
sample20200117-1_ZXY-WGS_I7	6	1000001	48000000	47	0.0165765660198141	2	NEUT	FALSE	1.95076075168029	2	NEUT
sample20200117-1_ZXY-WGS_I7	6	48000001	76000000	28	0.0636632467643483	3	GAIN	TRUE	3.27101947016524	3	GAIN
sample20200117-1_ZXY-WGS_I7	6	76000001	170000000	94	-0.197369337763856	1	HETD	FALSE	1.00646837994988	1	HETD
sample20200117-1_ZXY-WGS_I7	7	1000001	56000000	55	0.221661436862344	3	GAIN	FALSE	2.99734519488828	3	GAIN
sample20200117-1_ZXY-WGS_I7	7	67000001	159000000	92	-0.193195621010564	1	HETD	FALSE	1.02358247300228	1	HETD
sample20200117-1_ZXY-WGS_I7	8	1000001	43000000	42	-0.204934830558277	1	HETD	FALSE	0.975572429677015	1	HETD
sample20200117-1_ZXY-WGS_I7	8	47000001	113000000	66	0.0569662563845416	3	GAIN	TRUE	3.03701609429549	3	GAIN
sample20200117-1_ZXY-WGS_I7	8	113000001	145000000	32	0.233855095347937	3	GAIN	FALSE	3.06438211276563	3	GAIN
sample20200117-1_ZXY-WGS_I7	9	1000001	141000000	140	-0.204525105166665	1	HETD	FALSE	0.977241519341991	1	HETD
sample20200117-1_ZXY-WGS_I7	10	1000001	114000000	113	0.0227758266105141	2	NEUT	FALSE	1.98026469064335	2	NEUT
sample20200117-1_ZXY-WGS_I7	10	114000001	135000000	21	-0.022348788878411	1	HETD	TRUE	0.346681941080265	1	HETD
sample20200117-1_ZXY-WGS_I7	11	2000001	10000000	8	0.228567618023079	3	GAIN	FALSE	3.03524362804363	3	GAIN
sample20200117-1_ZXY-WGS_I7	11	10000001	134000000	124	0.0298724435166469	2	NEUT	FALSE	2.0141953893261	2	NEUT
sample20200117-1_ZXY-WGS_I7	12	1000001	34000000	33	-0.191913065119214	1	HETD	FALSE	1.02885147459722	1	HETD
sample20200117-1_ZXY-WGS_I7	12	38000001	105000000	67	0.0617920712963151	3	GAIN	TRUE	3.2055282682456	3	GAIN
sample20200117-1_ZXY-WGS_I7	12	105000001	132000000	27	0.0227267749791237	2	NEUT	FALSE	1.9800307428631	2	NEUT
sample20200117-1_ZXY-WGS_I7	13	20000001	33000000	13	0.0383107668108065	2	NEUT	FALSE	2.05475894566505	2	NEUT
sample20200117-1_ZXY-WGS_I7	13	33000001	114000000	81	0.0491439638728416	3	GAIN	TRUE	2.76506471102304	3	GAIN
sample20200117-1_ZXY-WGS_I7	14	21000001	53000000	32	0.0549580248876243	3	GAIN	TRUE	2.96705677088567	3	GAIN
sample20200117-1_ZXY-WGS_I7	14	53000001	94000000	41	0.0276117403875739	2	NEUT	FALSE	2.00336828153384	2	NEUT
